Song,Singable Result
"10,000 Reasons (Bless the Lord) (Jonas Myrin, Matt Redman)",Eb
Agnus Dei (Michael W. Smith),Ab
"All Who Are Thirsty (Brenton Brown, Glenn Robertson)",F
"Amazing Grace (My Chains Are Gone) (Chris Tomlin, Louie Giglio, John Newton)",D
Beautiful One (Tim Hughes),C
"Blessed Be Your Name (Beth Redman, Matt Redman)",Bb
"Christ Is Risen (Matt Maher, Mia Fieldes)",C
"Everlasting God (Brenton Brown, Ken Riley)",Bb
"Forever Reign (Reuben Morgan, Jason Ingram)",B
"God Of This City (Aaron Boyd, Richard Bleakley, Ian Jordan, Andrew McCann, Peter Kernaghan, Peter Comfort)",Bb
"Happy Day (Ben Cantelon, Tim Hughes)",Bb
Here I Am To Worship (Tim Hughes),E
"Hosanna (Praise Is Rising) (Paul Baloche, Brenton Brown)",G
How Deep The Fathers Love For Us (Stuart Townend),F
Revelation Song (Jennie Lee Riddle),Db
